"filename", "language", "YAML", "C++", "cmake", "Markdown", "Python", "comment", "blank", "total"
"/home/lizhen/works/code/OpenRobot/OCM/.clang-format", "YAML", 12, 0, 0, 0, 0, 0, 3, 15
"/home/lizhen/works/code/OpenRobot/OCM/README.md", "Markdown", 0, 0, 0, 2, 0, 0, 1, 3
"/home/lizhen/works/code/OpenRobot/OCM/examples/executer/CMakeLists.txt", "cmake", 0, 0, 15, 0, 0, 0, 6, 21
"/home/lizhen/works/code/OpenRobot/OCM/examples/executer/executer.cpp", "C++", 0, 100, 0, 0, 0, 1, 9, 110
"/home/lizhen/works/code/OpenRobot/OCM/examples/executer/node_test.hpp", "C++", 0, 84, 0, 0, 0, 0, 6, 90
"/home/lizhen/works/code/OpenRobot/OCM/examples/executer/yaml_load_generated_classes.hpp", "C++", 0, 370, 0, 0, 0, 14, 87, 471
"/home/lizhen/works/code/OpenRobot/OCM/examples/executer/yaml_template/task/task_setting.yaml", "YAML", 70, 0, 0, 0, 0, 6, 2, 78
"/home/lizhen/works/code/OpenRobot/OCM/examples/inter-device/CMakeLists.txt", "cmake", 0, 0, 24, 0, 0, 0, 9, 33
"/home/lizhen/works/code/OpenRobot/OCM/examples/inter-device/listener.cpp", "C++", 0, 35, 0, 0, 0, 10, 10, 55
"/home/lizhen/works/code/OpenRobot/OCM/examples/inter-device/read_log.cpp", "C++", 0, 39, 0, 0, 0, 18, 12, 69
"/home/lizhen/works/code/OpenRobot/OCM/examples/inter-device/send_message.cpp", "C++", 0, 25, 0, 0, 0, 9, 11, 45
"/home/lizhen/works/code/OpenRobot/OCM/examples/inter-process/CMakeLists.txt", "cmake", 0, 0, 18, 0, 0, 0, 7, 25
"/home/lizhen/works/code/OpenRobot/OCM/examples/inter-process/MyData.hpp", "C++", 0, 84, 0, 0, 0, 35, 35, 154
"/home/lizhen/works/code/OpenRobot/OCM/examples/inter-process/sem.cpp", "C++", 0, 40, 0, 0, 0, 10, 14, 64
"/home/lizhen/works/code/OpenRobot/OCM/examples/inter-process/shm.cpp", "C++", 0, 31, 0, 0, 0, 10, 14, 55
"/home/lizhen/works/code/OpenRobot/OCM/examples/intra-process/AtomicPtr.cpp", "C++", 0, 16, 0, 0, 0, 3, 6, 25
"/home/lizhen/works/code/OpenRobot/OCM/examples/intra-process/CMakeLists.txt", "cmake", 0, 0, 16, 0, 0, 0, 9, 25
"/home/lizhen/works/code/OpenRobot/OCM/examples/intra-process/RWLockData.cpp", "C++", 0, 24, 0, 0, 0, 3, 6, 33
"/home/lizhen/works/code/OpenRobot/OCM/examples/logger_test/CMakeLists.txt", "cmake", 0, 0, 16, 0, 0, 0, 6, 22
"/home/lizhen/works/code/OpenRobot/OCM/examples/logger_test/logger.cpp", "C++", 0, 14, 0, 0, 0, 4, 6, 24
"/home/lizhen/works/code/OpenRobot/OCM/examples/node/CMakeLists.txt", "cmake", 0, 0, 16, 0, 0, 0, 6, 22
"/home/lizhen/works/code/OpenRobot/OCM/examples/node/test.cpp", "C++", 0, 33, 0, 0, 0, 0, 4, 37
"/home/lizhen/works/code/OpenRobot/OCM/examples/parameter/CMakeLists.txt", "cmake", 0, 0, 16, 0, 0, 0, 6, 22
"/home/lizhen/works/code/OpenRobot/OCM/examples/parameter/generated_classes.hpp", "C++", 0, 370, 0, 0, 0, 11, 87, 468
"/home/lizhen/works/code/OpenRobot/OCM/examples/parameter/paratest.cpp", "C++", 0, 11, 0, 0, 0, 3, 5, 19
"/home/lizhen/works/code/OpenRobot/OCM/examples/parameter/test copy 2.py", "Python", 0, 0, 0, 0, 136, 24, 23, 183
"/home/lizhen/works/code/OpenRobot/OCM/examples/parameter/test copy 3.py", "Python", 0, 0, 0, 0, 160, 31, 32, 223
"/home/lizhen/works/code/OpenRobot/OCM/examples/parameter/test copy 4.py", "Python", 0, 0, 0, 0, 136, 24, 23, 183
"/home/lizhen/works/code/OpenRobot/OCM/examples/parameter/test copy 5.py", "Python", 0, 0, 0, 0, 178, 35, 28, 241
"/home/lizhen/works/code/OpenRobot/OCM/examples/parameter/test copy 6.py", "Python", 0, 0, 0, 0, 338, 77, 53, 468
"/home/lizhen/works/code/OpenRobot/OCM/examples/parameter/test copy.py", "Python", 0, 0, 0, 0, 97, 13, 23, 133
"/home/lizhen/works/code/OpenRobot/OCM/examples/parameter/test.py", "Python", 0, 0, 0, 0, 345, 77, 53, 475
"/home/lizhen/works/code/OpenRobot/OCM/examples/task/CMakeLists.txt", "cmake", 0, 0, 20, 0, 0, 0, 5, 25
"/home/lizhen/works/code/OpenRobot/OCM/examples/task/external_timer.cpp", "C++", 0, 34, 0, 0, 0, 0, 7, 41
"/home/lizhen/works/code/OpenRobot/OCM/examples/task/internal_timer.cpp", "C++", 0, 15, 0, 0, 0, 0, 4, 19
"/home/lizhen/works/code/OpenRobot/OCM/examples/task/trigger.cpp", "C++", 0, 19, 0, 0, 0, 0, 3, 22
"/home/lizhen/works/code/OpenRobot/OCM/examples/test.cpp", "C++", 0, 20, 0, 0, 0, 7, 9, 36
"/home/lizhen/works/code/OpenRobot/OCM/examples/test2.cpp", "C++", 0, 34, 0, 0, 0, 10, 12, 56
"/home/lizhen/works/code/OpenRobot/OCM/ocm/CMakeLists.txt", "cmake", 0, 0, 87, 0, 0, 0, 19, 106
"/home/lizhen/works/code/OpenRobot/OCM/ocm/include/common/enum.hpp", "C++", 0, 18, 0, 0, 0, 0, 3, 21
"/home/lizhen/works/code/OpenRobot/OCM/ocm/include/common/struct_type.hpp", "C++", 0, 41, 0, 0, 0, 0, 2, 43
"/home/lizhen/works/code/OpenRobot/OCM/ocm/include/executer/executer.hpp", "C++", 0, 234, 0, 0, 0, 0, 13, 247
"/home/lizhen/works/code/OpenRobot/OCM/ocm/include/log_anywhere/log_anywhere.hpp", "C++", 0, 72, 0, 0, 0, 16, 19, 107
"/home/lizhen/works/code/OpenRobot/OCM/ocm/include/node/node.hpp", "C++", 0, 30, 0, 0, 0, 0, 5, 35
"/home/lizhen/works/code/OpenRobot/OCM/ocm/include/node/node_map.hpp", "C++", 0, 27, 0, 0, 0, 0, 5, 32
"/home/lizhen/works/code/OpenRobot/OCM/ocm/include/ocm/ocm.hpp", "C++", 0, 120, 0, 0, 0, 9, 26, 155
"/home/lizhen/works/code/OpenRobot/OCM/ocm/include/parameter/parameter.hpp", "C++", 0, 27, 0, 0, 0, 7, 7, 41
"/home/lizhen/works/code/OpenRobot/OCM/ocm/include/task/rt/memory_lock.hpp", "C++", 0, 93, 0, 0, 0, 3, 15, 111
"/home/lizhen/works/code/OpenRobot/OCM/ocm/include/task/rt/sched_rt.hpp", "C++", 0, 81, 0, 0, 0, 4, 17, 102
"/home/lizhen/works/code/OpenRobot/OCM/ocm/include/task/task.hpp", "C++", 0, 87, 0, 0, 0, 0, 18, 105
"/home/lizhen/works/code/OpenRobot/OCM/ocm/include/task/timer.hpp", "C++", 0, 63, 0, 0, 0, 21, 14, 98
"/home/lizhen/works/code/OpenRobot/OCM/ocm/src/ocm.cpp", "C++", 0, 146, 0, 0, 0, 52, 27, 225
"/home/lizhen/works/code/OpenRobot/OCM/ocm/src/task.cpp", "C++", 0, 121, 0, 0, 0, 0, 16, 137
"Total", "-", 82, 2558, 228, 2, 1390, 547, 848, 5655
